phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.403898,0.218661,0.85552,0.375997,0.279113
warmup,2,0.99002,0.311651,0.784279,0.413802,0.312738
warmup,3,0.900265,0.342954,0.7697,0.415452,0.319373
warmup,4,0.867894,0.355763,0.761557,0.413383,0.322178
warmup,5,0.859753,0.360412,0.759102,0.416683,0.323524
finetune,1,0.681726,0.461363,0.620792,0.552064,0.406892
finetune,2,0.587531,0.525581,0.566425,0.562112,0.458921
finetune,3,0.53754,0.562026,0.580649,0.54401,0.435411
finetune,4,0.502019,0.586849,0.622386,0.517338,0.409286
finetune,5,0.482447,0.600708,0.611859,0.507388,0.418408
finetune,6,0.465696,0.610987,0.618742,0.520491,0.419453
finetune,7,0.460665,0.615087,0.622174,0.520244,0.417967
